iter	Passed	Remaining
849	33197	5858
850	33233	5818
851	33270	5779
852	33304	5739
853	33340	5699
854	33383	5661
855	33424	5622
856	33466	5584
857	33506	5545
858	33547	5506
859	33584	5467
860	33628	5428
861	33669	5390
862	33714	5352
863	33752	5312
864	33789	5273
865	33831	5234
866	33872	5196
867	33910	5156
868	33950	5118
869	33988	5078
870	34027	5039
871	34066	5000
872	34106	4961
873	34156	4924
874	34194	4884
875	34231	4845
876	34273	4806
877	34307	4767
878	34339	4726
879	34376	4687
880	34417	4648
881	34451	4609
882	34486	4569
883	34518	4529
884	34552	4489
885	34587	4450
886	34623	4410
887	34664	4372
888	34699	4332
889	34739	4293
890	34778	4254
891	34817	4215
892	34858	4176
893	34895	4137
894	34926	4097
895	34962	4058
896	34996	4018
897	35028	3978
898	35062	3939
899	35101	3900
900	35136	3860
901	35172	3821
902	35210	3782
903	35246	3742
904	35281	3703
905	35317	3664
906	35351	3624
907	35390	3585
908	35433	3547
909	35469	3507
910	35507	3468
911	35547	3429
912	35586	3391
913	35629	3352
914	35665	3313
915	35704	3274
916	35746	3235
917	35782	3196
918	35818	3156
919	35856	3117
920	35896	3079
921	35927	3039
922	35963	3000
923	35998	2960
924	36030	2921
925	36066	2882
926	36105	2843
927	36144	2804
928	36182	2765
929	36221	2726
930	36255	2687
931	36288	2647
932	36321	2608
933	36355	2569
934	36391	2529
935	36429	2490
936	36465	2451
937	36501	2412
938	36535	2373
939	36568	2334
940	36609	2295
941	36646	2256
942	36688	2217
943	36729	2178
944	36769	2140
945	36810	2101
946	36845	2062
947	36883	2023
948	36919	1984
949	36961	1945
950	36997	1906
951	37031	1867
952	37068	1828
953	37102	1789
954	37137	1749
955	37168	1710
956	37204	1671
957	37245	1632
958	37282	1593
959	37319	1554
960	37354	1515
961	37388	1476
962	37421	1437
963	37461	1398
964	37499	1360
965	37532	1321
966	37565	1281
967	37597	1242
968	37632	1203
969	37670	1165
970	37707	1126
971	37742	1087
972	37782	1048
973	37815	1009
974	37848	970
975	37881	931
976	37918	892
977	37954	853
978	37988	814
979	38028	776
980	38066	737
981	38099	698
982	38132	659
983	38165	620
984	38203	581
985	38239	542
986	38271	504
987	38311	465
988	38349	426
989	38381	387
990	38417	348
991	38446	310
992	38476	271
993	38507	232
994	38542	193
995	38575	154
996	38610	116
997	38644	77
998	38680	38
999	38717	0
